,,,,,Ingredient Preferences,,,,Allergens,,,,,,,,Skin type,,,,Suitable for sensitive skin,,,,,,Suitable (for acne-prone),,,,,,,Skin concern,,,,,,,,,,,,,,,,,,,,,,,,,,,Benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age range,,,,,
Anthemis Nobilis Flower Oil,91770,Anthemis Nobilis Flower Oil,8015-92-7,84649-86-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,-3,1,5,5,5,5,4,4,5,5,5,5,4,4,Yes,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Argania Spinosa (Argan) Kernel Oil,985,Argania Spinosa Kernel Oil,223747-87-3,223747-87-3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,Yes,Yes,Yes,Yes,Yes
Avena Sativa (Oat) Kernel,985,Avena Sativa (Oat) Kernel Extract,84012-26-0,84012-26-0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Butyrospermum Parkii (Shea) Butter,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Calendula Officinalis Flower Extract,5280852,Calendula Officinalis Flower Extract,84776-23-8,70892-20-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Caprylhydroxamic Acid,72736,Caprylhydroxamic Acid,7377-03-09,7377-03-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Caprylic/Capric Triglyceride,5462308,Caprylic/Capric Triglyceride,73398-61-5,73398-61-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cetearyl Alcohol,10467,Cetearyl Alcohol,8005-44-5,67762-27-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cetearyl Glucoside,17817338,Cetearyl Glucoside,246159-33-1,162479-19-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Chamomilla Recutita (Matricaria) Flower Extract,5280852,Chamomilla Recutita (Matricaria) Flower Extract,84082-60-0,84082-60-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cocos Nucifera (Coconut) Oil,446284,Cocos Nucifera (Coconut) Oil,8001-31-8,8001-31-8,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,,,,1,,,,1,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cyamopsis Tetragonoloba (Guar) Gum,14870,Cyamopsis Tetragonoloba (Guar) Gum,9000-30-0,9000-30-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Fragrance,0,Fragrance,85203-56-1,None,Yes/No,Yes/No,No,Yes/No,Yes,Yes,Yes,Yes,Yes/No,Yes/No,No,No,-3,-3,-3,-3,1,1,0,0,0,0,1,1,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No
Glycerin,753,Glycerin,56-81-5,56-81-5,Yes/No,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glyceryl Caprylate,85857,Glyceryl Caprylate,26402-26-6,26402-26-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,3,4,4,4,3,3,3,4,4,4,3,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glyceryl Stearate,9204,Glyceryl Stearate,11099-07-03,11099-07-03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,4,4,4,4,4,4,4,4,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Helianthus Annuus Seed Oil/Sunflower Seed Oil,5280934,Helianthus Annuus Seed Oil,8001-21-6,8001-21-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Nasturtium Officinale (Watercress) Flower/Leaf Extract,18561718,Nasturtium Officinale Flower/Leaf Extract,90131-36-7,90147-81-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,-3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Olea Europaea (Olive) Fruit Oil,23345,Olea Europaea Fruit Oil,8001-25-0,8001-25-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Pueraria Lobata (Kudzu) Root Extract,5318514,Pueraria Lobata Root Extract,90064-30-5,90064-55-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Rosmarinus Officinalis (Rosemary) Leaf Extract,521889,Rosmarinus Officinalis Leaf Extract,84604-14-8,84604-14-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,3,3,2,1,0,0,3,3,2,1,0,0,Yes,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Spiraea Ulmaria (Meadowsweet) Flower Extract,442431,Spiraea Ulmaria Flower Extract,84776-63-6,84776-26-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,-3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Tocopherol,14985,Tocopherol,1406-18-4,59-02-9,Yes,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,No,Yes,Yes,Yes,Yes,Yes
Water (Aqua),962,Aqua (Water),7732-18-5,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Xanthan Gum,11953916,Xanthan Gum,11138-66-2,11138-66-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Butter Butyrospermum Parkii (Shea) Butter ,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Citrus Aurantium (Petigtain) Oil,5460178,Citrus Aurantium Amara (Bitter Orange) Oil,72968-50-4,72968-50-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,-3,3,3,3,3,2,1,0,0,3,3,2,1,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Prunus Amygdalys Dulcis (Sweet almond oil) ,31249,Prunus Amygdalus Dulcis Oil,8007-69-0,8007-69-0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Simmondsia Chinensis (Jojoba) Seed Oil,91745,Simmondsia Chinensis Seed Oil,90045-98-0,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,1,,,,,,1,,1,,,1,,,,,,,,,,,,,1,,,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Apium Graveolens (Celery) Seed Extract,6436662,Apium Graveolens Seed Extract,89998-90-5,89997-35-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,-3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Arginine,6322,Arginine,74-79-3,74-79-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Butyrospermum Parkii (Shea) Butter,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Camellia Japonica Seed Oil1,118678,Camellia Japonica Seed Oil,223748-12-3,225233-97-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,Yes,Yes,Yes,Yes,Yes
Caprylhydroxamic Acid,72736,Caprylhydroxamic Acid,7377-03-09,7377-03-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Caprylic/Capric Triglyceride,5462308,Caprylic/Capric Triglyceride,73398-61-5,73398-61-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cetyl Alcohol,8221,Cetyl Alcohol,36653-82-4,36653-82-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cucumis Sativus (Cucumber) Fruit Extract,11979287,Cucumis Sativus Fruit Extract,89998-01-06,89998-01-06,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cucumis Sativus (Cucumber) Fruit Water,11979287,Cucumis Sativus Fruit Water,9007-23-0,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Ethylhexylglycerin,3082978,Ethylhexylglycerin,70445-33-9,70445-33-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glycerin,753,Glycerin,56-81-5,56-81-5,Yes/No,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glyceryl Caprylate,85857,Glyceryl Caprylate,26402-26-6,26402-26-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,3,4,4,4,3,3,4,4,4,4,3,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glyceryl Stearate,9204,Glyceryl Stearate,11099-07-03,11099-07-03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,4,5,4,4,4,4,4,4,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Helianthus Annuus Seed Oil/Sunflower Seed Oil,5280934,Helianthus Annuus Seed Oil,8001-21-6,8001-21-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Lecithin,643682,Lecithin,8002-43-5,8002-43-5,Yes,Yes/No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,3,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No,Yes,Yes,Yes,Yes,Yes
Linum Usitatissimum (Linseed) Seed Extract,1548969,Linum Usitatissimum Seed Extract,8001-26-1,8001-26-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,4,4,4,4,3,0,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Mentha Piperita (Peppermint) Extract,6850742,Mentha Piperita Extract,84082-70-2,84082-70-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,3,3,2,1,0,3,3,3,2,1,0,0,Yes,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
Panax Ginseng Root Extract,9895643,Panax Ginseng Root Extract,50647-08-0,50647-08-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,5,4,4,4,4,3,3,Yes,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Pullulan,516036,Pullulan,9057-02-07,9057-02-07,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Sclerotium Gum,9927494,Sclerotium Gum,39464-87-4,39464-87-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,3,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sodium Phytate,94510,Sodium Phytate,14306-25-3,14306-25-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sorbitan Trioleate,5360323,Sorbitan Trioleate,26266-58-0,26266-58-0,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,5,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Squalane,11180,Squalane,0111-01-03,0111-01-03,Yes/No,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,3,5,5,5,5,5,5,Yes,,,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Yes,Yes,Yes,Yes,Yes,Yes
Stearic Acid,5281,Stearic Acid,57-11-4,57-11-4,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Tanacetum Vulgare Extract,8201752,Tanacetum Vulgare Extract,90063-31-1,8016-87-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,-3,3,3,4,4,4,4,3,5,4,4,4,4,3,3,Yes,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Water/Aqua,962,Aqua (Water),7732-18-5,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
