1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,,
Glyceryl Stearate,Glyceryl Stearate,Glyceryl Stearate; Glyceryl monostearate; GMS; Octadecanoic acid monoglyceride; Glyceryl Stearate SE,Low Risk,Low Risk,"Emulsifier, Emollient","Emollient, Skin barrier protection, Moisturizing",,3,1-10%,1-10%,,,,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,-0.2,,0,,0,,0,,0.2,,0,,-0.2,,0,,0.2,,-0.2,,0.2,0.2,0,0,0,0,0,0.2,0,0.2,1 - 5%,,1.0,,
Glycine Soja (Soybean) Oil,Glycine Soja Oil,Glycine Soja (Soybean) Oil; Soybean Oil; Glycine Max Oil; Soy Oil; Glycine Soja Oil/Soybean Oil; Soybean Extract; Soy Oil; Glycine Soja Oil / Soybean Oil; Glycine Soja (Soybean) Extract,Moderate Risk,Low Risk,"Emollient, Active","Skin barrier protection, Moisturizing, Antioxidant",,4,2%,2%,,,,0.2,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,-1,,0.2,,-0.2,,0.2,,0.2,,0.2,,-1,,0.2,,0.2,,0.2,,0.2,1,0,0,0,0,0,0.2,-1,0,1 - 5%,,1.0,,
Glycogen,Glycogen,Glycogen; Glycogen; Animal Starch; Liver Starch,Low Risk,Low Risk,Humectant,Hydrates and helps maintain skin’s moisture balance.,,0,0.05–0.3%,0.05–0.3%,0.05–0.3%,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0,,0.2,,0.2,"Glycogen helps maintain skin hydration and balance, preventing the overproduction of oil. It’s effective in keeping oily skin hydrated without adding greasiness.",0,,0.2,,0.2,,0,,0.2,,0.2,,0.2,,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5 - 2%,,1.0,,
Goat Milk,Caprae Lac,Goat Milk; Caprae Lac; Goat Milk Powder; Goat's Milk; Caprine Milk,Moderate Risk,Moderate Risk,"Active, Humectant","Contains lactic acid, which helps exfoliate dead skin cells and can improve skin texture, potentially reducing blemishes.",,0,1-5%,3-15%,,,,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,1,0.2,1,0,0.2,0,0.2,0.2,0.2,1 - 5%,,1.0,,
Witch hazel,Hamamelis Virginiana Extract,Witch hazel; Hamamelis virginiana extract; Witch hazel water; Hamamelis water; Witch Hazel Distillate; Witch Hazel Leaf Extract; Organic witch hazel; Hamamelis virginiana extract; Witch hazel water; Hamamelis water; Witch Hazel Distillate; Witch Hazel Leaf Extract,Moderate Risk,Moderate Risk,Active,"Astringent. While effective for acne, witch hazel can be drying, especially for those with sensitive skin, so it should be used moderately.",,0,1-10%,1-10%,,,,0.2,-0.2,1,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6,,-0.2,,1,"Witch hazel is a natural astringent that helps to tighten pores, reduce oil production, and soothe inflamed skin. It’s particularly effective in treating and preventing acne by controlling excess oil and reducing bacteria on the skin.",-0.2,,1,,0,,0,,1,"Witch hazel is a natural astringent that helps tighten pores and smooth uneven skin texture. It reduces excess oil production, which can contribute to visible pores and rough texture.",0.2,,0.2,,0.2,,0.2,,0,0,0,0.2,0,0,0,0.2,1,0,1-10%,Yes,1.0,,
Helianthus Annuus (Sunflower) Seed Oil,Helianthus Annuus Seed Oil,Helianthus Annuus (Sunflower) Seed Oil; Sunflower Seed Oil; Sunflower Oil; Helianthus Annuus Oil; Helianthus Annuus Seed Oil/Sunflower Seed Oil; Helianthus Annuus Seed Oil / Sunflower Seed Oil; Helianthus Annuus (Sunflower) Seed Oil; Helianthus Annuus Seed Oil; Sunflower Seed Extract; Helianthus Annuus(Sunflower) Seed Oil; Helianthus Annus (Sunflower) Seed Oil; Helianthus Annuus Seed Oil (Sunflower Oil); Organic Sunflower Seed Oil; Organic Helianthus Annuus Seed Oil; Organic Sunflower Oil; Organic Sunflower Seed Oil; Organic Sunflower Oil,Low Risk,Low Risk,"Emollient, Active",Antioxidant,,0,1.4–2.2%,1.4–2.2%,,,,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,1 - 5%,,1.0,,
Helianthus Annuus (Sunflower) Seed Wax,Helianthus Annuus Seed Wax,Helianthus Annuus (Sunflower) Seed Wax; Sunflower Seed Wax; Sunflower Wax; Helianthus Annuus Wax; Sunflower Oil Wax; Sunflower Seed Oil Wax,Low Risk,Low Risk,"Emollient, Thickener","Emollient, Skin barrier protection",,0,4%,4%,,,,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Sunflower seed wax provides a protective barrier on the skin, helping to lock in moisture and protect against environmental irritants. It’s soothing and helps reduce irritation, which is beneficial for managing rosacea.",0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,0,0,0.2,0,0,0,0.2,0.2,0.2,1 - 5%,,1.0,,
Helichrysum (Helichrysum italicum),Helichrysum Italicum Extract,Helichrysum (Helichrysum italicum); Helichrysum italicum Extract; Helichrysum Flower Extract,Low Risk,Low Risk,"Fragrance, Active",Generally non-irritating,,0,0.5-2%,0.5-5%,,,,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,Helichrysum has anti-inflammatory and antimicrobial properties that help balance sebum production and prevent acne. It’s effective in calming oily skin and reducing shine.,0.2,"Helichrysum, also known as “immortelle,” is known for its regenerative properties that help to reduce the appearance of fine lines and wrinkles. It promotes skin healing and improves elasticity, making the skin look firmer, smoother, and more youthful.",0.2,"Also known as immortelle, it promotes collagen production and restores skin elasticity, firming and toning the skin.",0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,0,0,1,0,0,0.2,1,0.1 - 2%,Moderately effective,0.5,,
Helichrysum Essential Oil,Helichrysum Italicum Flower Oil,Helichrysum Essential Oil; Immortelle Oil; Helichrysum Italicum Oil; Everlasting Oil; Helichrysum Flower Oil; Helichrysum italicum Essential Oil,Moderate Risk,Moderate Risk,"Fragrance, Active",Excellent for skin healing and regeneration. Natural fragrance. Has risk of irritation for sensitive skin,,0,0.5% to 2%,0.5% to 2%,,,,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,"Helichrysum essential oil helps regulate oil production and reduce inflammation, making it ideal for managing oily skin and preventing breakouts.",0.2,"Helichrysum essential oil is highly effective in promoting skin regeneration and reducing the appearance of fine lines and wrinkles. It helps to firm and tone the skin, giving it a more youthful appearance by enhancing skin elasticity and smoothness.",0.2,"Promotes skin regeneration and improves elasticity, helping to firm and tighten the skin for a more youthful appearance.",0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,0,0,1,0,0,0.2,1,0.1 - 2%,Yes,1.0,,
Herbal Blend,Herbal Extract,Herbal Blend; Herbal Extract Blend; Botanical Extract Blend; Plant Extract Blend; Mixed Herbal Extract; Mixed Botanical Extract,Moderate Risk,Moderate Risk,"Active, Antioxidant",Antioxidant,,0,0.5% to 5%,0.5% to 5%,,,,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,-0.2,,0.2,,0.2,,0.2,,0.2,,0,,0,,0.2,,0,,0,,-1,,0,,0,0,0,0,0,0,0,0.2,0.2,0,0.5 - 2%,,1.0,,
Hexyl Cinnamal,Hexyl Cinnamal,Hexyl Cinnamal; Hexyl cinnamaldehyde; HCA; 2-Benzylideneoctanal; Hexyl Cinnamic Aldehyde; Hexyl Cinnamaldehyde,High Risk,High Risk,Fragrance,Can be irritating for sensitive skin,,2,0.01%,0.01%,,,,0,-6,-0.2,-1,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,-1,,-1,,-1,,-6,,-0.2,,-1,,-1,,-0.2,,-0.2,,0,,-6,,-0.2,,0,0,0,0,0,0,0,-1,-1,-1,0.1 - 1%,,1.0,,
Organic Hibiscus Flower Extract,Hibiscus Sabdariffa Flower Extract,Organic Hibiscus Flower Extract; Organic Hibiscus Extract; Organic Hibiscus Flower Extract; Organic Hibiscus Sabdariffa Extract; Organic Hibiscus Extract; Hibiscus Flower Extract; Organic Hibiscus Extract; Organic Hibiscus Flower Extract; Organic Hibiscus Sabdariffa Extract; Organic Hibiscus Extract,Low Risk,Low Risk,"Active, Humectant","Rich in antioxidants and alpha hydroxy acids (AHAs), which help exfoliate the skin, reduce inflammation",,0,0.5-5%,0.5-5%,,,,1,0,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0,,0.2,,0.2,,0,,0.2,,1,"Hibiscus flower extract is rich in antioxidants and natural acids that help to exfoliate the skin and promote cell turnover. This reduces the appearance of fine lines and wrinkles, making the skin look smoother and more youthful by enhancing its elasticity and radiance.",1,"Rich in antioxidants and natural acids, it promotes cell turnover and improves skin elasticity, helping to firm the skin and reduce signs of sagging.",0.2,,0.2,,1,"Hibiscus flower extract is rich in natural acids that gently exfoliate the skin, helping to improve radiance and reduce dullness. It also promotes cell turnover, giving the skin a fresh, glowing appearance.",0.2,,0.2,,0,0,0,0,0,0,0,1,0.2,1,0.5 - 5%,Yes,1.0,,
Hibiscus Oil,Hibiscus Sabdariffa Flower Oil,Hibiscus Oil; Hibiscus Extract; Hibiscus Flower Oil; Hibiscus Sabdariffa Oil; Roselle Oil; Hibiscus Seed Oil,Low Risk,Low Risk,"Emollient, Active","Skin barrier protection, Moisturizing, Soothing",,0,0.5-2%,0.5-2%,,,,1,0,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0,,0.2,,0.2,,0,,0.2,,1,"Hibiscus oil is rich in antioxidants and fatty acids that help to nourish the skin and reduce the appearance of fine lines and wrinkles. It also helps to improve skin elasticity and smoothness, promoting a more youthful appearance.",1,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,0,0,0,0,0,0,0.2,0.2,0.2,1 - 5%,Yes,1.0,,
Hibiscus Water,Hibiscus Sabdariffa Flower Water,Hibiscus Water; Hibiscus Extract; Hibiscus Flower Water; Hibiscus Sabdariffa Extract; Hibiscus Floral Water; Hibiscus Water,Low Risk,Low Risk,"Active, Humectant","Hydrating and soothing, with anti-inflammatory properties that help reduce redness and improve skin appearance.",,0,5%-10%,5%-20%,,,,0.2,0,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0,,0.2,,0.2,,0,,0.2,,1,,1,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,0,0,0,0,0,0,0.2,0.2,0.2,1 - 5%,,1.0,,
Sea Buckthorn,Hippophae Rhamnoides Oil,Sea Buckthorn; Hippophae Rhamnoides Oil; Sea Buckthorn Berry Oil; Hippophae Oil; Sea Buckthorn Extract; Hippophae Rhamnoides (Seabuckthorn) Berries Extract; Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract; Hippophaë Rhamnoides Oil; Hippophae Rhamnoides Oil; Sea Buckthorn Oil; Sea Buckthorn Berry Oil; Seaberry Oil; Buckthorn Oil; Hippophae Rhamnoides Fruit Oil; Sea Buckthorn Oil; Hippophae Oil; Hippophae Rhamnoides (Seabuckthorn) Seed Oil,Low Risk,Low Risk,"Emollient, Active",Antioxidant,,0,20-100%,20-100%,,,,1,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0.2,"Sea buckthorn is rich in vitamins and essential fatty acids that help heal and soothe the skin. It’s particularly effective in reducing redness and inflammation, making it beneficial for rosacea-prone skin.",0.2,,0.2,"Sea buckthorn is rich in vitamins and essential fatty acids, which help reduce inflammation and promote healing. It has antibacterial properties that can help prevent acne and reduce the severity of breakouts. Sea buckthorn also helps to nourish the skin and improve its overall texture, making it a valuable ingredient for acne-prone skin.",0.2,,-0.2,,0.2,Sea buckthorn is rich in vitamins and essential fatty acids that help to nourish and regenerate the skin. It helps to reduce the appearance of fine lines and wrinkles by promoting collagen production and protecting the skin from environmental damage.,0.2,"Rich in vitamins and essential fatty acids, it supports collagen production and improves skin elasticity, helping to firm the skin.",0.2,Sea buckthorn is rich in vitamins and fatty acids that promote skin regeneration and improve texture. It helps minimize the appearance of pores and smooth uneven skin for a more refined complexion.,0.2,,0.2,"Sea buckthorn is rich in vitamins and antioxidants that nourish the skin and promote a healthy, glowing complexion. It helps to reduce dullness by improving skin tone and texture.",0.2,,0.2,,0,1,0,0,0,1,0,0.2,0.2,1,1 - 5%,Moderately effective,0.5,,
Hops,Humulus Lupulus Extract,Hops; Humulus lupulus extract; Hops extract; Lupulin; Hops Flower Extract; Hops Cone Extract; Humulus Lupulus (Hops) Strobile,Low Risk,Low Risk,"Active, Antioxidant",Antioxidant,,0,0.20%,0.06%–0.13%,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,"0.2, 1",0,0,0,0.2,0.2,0,0.5 - 2%,,1.0,,
Hydrogenated Farnesene,Hydrogenated Farnesene,Hydrogenated Farnesene; Squalane; Hydrogenated Squalene; Farnesane; Hydrogenated Terpene; Squalane Oil,Low Risk,Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",,1,1–60%,1–60%,,,,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2,0,0,0.2,0,0,0,0.2,0.2,0.2,1 - 5%,,1.0,,Filler
Hydrogenated Lecithin,Hydrogenated Lecithin,Hydrogenated Lecithin; Lecithin; Hydrogenated Phosphatidylcholine; Hydrogenated Soy Lecithin; Hydrolyzed Lecithin; Hydrogenated Lecithin Solution,Low Risk,Low Risk,"Emollient, Emulsifier","Emollient, Skin barrier protection, Moisturizing",,1,<15%,<15%,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0,,0.2,0,0,0,0,0,0,0.2,0.2,0.2,1 - 5%,,1.0,,
Hydrogenated Palm Glycerides,Hydrogenated Palm Glycerides,Hydrogenated Palm Glycerides; Palm Glycerides; Hydrogenated Palm Oil; Palm Oil Glycerides; Hydrogenated Palm Kernel Glycerides,Low Risk,Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",,3,1-10%,1-10%,,,,0.2,0.2,-0.2,-0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0.2,,-0.2,,0,,0,,0,,0,,0.2,,0,,0,,0.2,0.2,0,0,0,0,0,0.2,0,0,1 - 5%,,1.0,,
Hydrogenated Polyisobutene,Hydrogenated Polyisobutene,Hydrogenated Polyisobutene; Polyisobutene; Synthetic squalane; Hydrogenated Isobutene; Hydrogenated Polybutene,Low Risk,Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",,1,<80%,<80%,,,,0,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0.2,,0,,0.2,,0.2,,0.2,,0,,0,,0,,0,,0.2,0,0,0,0,0,0,0.2,0.2,0,1 - 5%,,1.0,,Filler
Collagen,Collagen,Collagen; Collagen; Hydrolyzed Collagen; Marine Collagen; Bovine Collagen,Low Risk,Low Risk,Active,Improve skin elasticity and hydration,,0,0.2%-2%,0.2%-2%,,,,0,0.2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0,,0.2,,0,,0.2,,0,,0,,1,,0,,0,,0.2,,0,,0,,0,0,0,0,0,0,0,0.2,0,0,0.5 - 2%,,1.0,,
Hydrolyzed Sodium Hyaluronate,Hydrolyzed Sodium Hyaluronate,Hydrolyzed Sodium Hyaluronate; Hyaluronic Acid; Sodium Hyaluronate; Hyaluronan; Hydrolyzed Hyaluronic Acid; Hydrolyzed Hyaluronan,Low Risk,Low Risk,"Active, Humectant",A smaller molecular form of hyaluronic acid that provides deep hydration and helps maintain skin moisture.,,0,0.1–5%,0.1–5%,,,"Combined with other HA forms.
Many skincare products combine different molecular weights of hyaluronic acid, including hydrolyzed sodium hyaluronate, to target different skin layers.  ",1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,"Hydrolyzed Sodium Hyaluronate: A smaller molecule of hyaluronic acid that penetrates deeper into the skin, providing intense hydration and promoting skin barrier repair. It helps soothe and calm rosacea-prone skin by reducing dryness, irritation, and redness.",0.2,,0.2,,1,"Hydrolyzed Sodium Hyaluronate is a form of hyaluronic acid that penetrates deeply into the skin to provide intense hydration. It helps to plump and moisturize dry, dehydrated skin, making it soft and smooth.",0.2,Hydrolyzed sodium hyaluronate provides lightweight hydration that doesn’t add oil to the skin. It’s beneficial for oily skin as it helps maintain moisture balance and prevents dehydration.,1,"This form of hyaluronic acid penetrates deeply into the skin to provide intense hydration, plumping the skin and reducing the appearance of fine lines and wrinkles. It also helps to maintain the skin’s elasticity and smoothness by improving moisture retention.",1,"Provides deep hydration, plumping the skin and improving elasticity, helping to maintain firmness by keeping moisture balanced.",0.2,,0.2,,1,,1,,0.2,,"0.2, 1",0,0,0,0,0,1,0.2,0.2,0.2,0.1 - 2%,Yes,1.0,,
Hydroxyacetophenone,Hydroxyacetophenone,Hydroxyacetophenone; 4-Hydroxyacetophenone; p-Hydroxyacetophenone; 1-(4-Hydroxyphenyl)ethanone; Hydroxyacetophenone Crystal,Low Risk,Low Risk,"Preservative, Antioxidant, Stabilizer",Not a paraben. Not likely to cause irritation and acne.,,0,0.05%,0.00068%–5%,0.23%,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0.2,,0,,0,,0.2,,0.2,,0,,0,,0.2,,0.2,,0,,0,0,0,1,0,0,0,0.2,0,0.2,0.1 - 1%,,1.0,,
St. John's Wort,Hypericum Perforatum Extract,St. John's Wort; Hypericum perforatum extract; Hypericum extract; St. John's herb extract; St. John's Wort Extract,Low Risk,Moderate Risk,"Active, Antioxidant",Antioxidant,,1,0.5-5%,0.5-5%,,Photosensitivity,,0.2,0,0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6,,-0.2,,-0.2,,0,,0.2,,0,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,1,0,1,0,0.2,0.2,0,0.5 - 2%,,1.0,,
Inonotus Obliquus (Chaga Mushroom) Extract,Inonotus Obliquus Extract,Inonotus Obliquus (Chaga Mushroom) Extract; Chaga Extract; Birch Mushroom Extract; Inonotus Extract; Chaga Mushroom Extract; Inonotus Obliquus Powder,Low Risk,Low Risk,"Active, Antioxidant",Antioxidant,,0,0.01%,0.01%,,,,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,"Rich in antioxidants, it protects the skin from environmental damage while promoting collagen production, restoring elasticity and firmness.",0.2,,0.2,,0.2,,0.2,,0.2,Chaga mushroom extract has powerful antioxidant and anti-inflammatory properties that help reduce the appearance of blemishes and calm irritated skin. It also promotes healing and protects the skin from environmental damage.,0,0,0,1,0,0,0,0.2,0.2,1,1 - 5%,Moderately effective,0.5,,
Isopropyl Palmitate,Isopropyl Palmitate,Isopropyl Palmitate; Propylhexadecanoate; 1-Methylethyl hexadecanoate; Hexadecanoic acid isopropyl ester; Isopropyl Hexadecanoate,Low Risk,Moderate Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",,2,1-10%,1-10%,,,,0.2,0,-6,-1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,,-6,,0,,-6,,0,,0,,-6,,-6,,0,,0,,-6,,0.2,0,0,0,0,0,0,0.2,-6,0.2,1 - 5%,,1.0,,Filler
Fresh jasmine blossoms,Jasminum Officinale Flower Extract,Fresh jasmine blossoms; Jasmine Flowers; Jasminum Flowers; Jasmine Petals; Jasmine Flower Extract; Jasminum Officinale (Jasmine) Flower/Leaf Extract,Moderate Risk,High Risk,"Fragrance, Active",Can be irritating for sensitive skin,,0,0.10%,0.00%,,,,0.2,0.2,0,0.2,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,-1,,-0.2,,-0.2,,0,,0,,0,,0,,0.2,,-1,,-1,,0.2,,0.2,,0,0,0,"0.2, 1",0,0.2,0,-1,0.2,0,0.1 - 1%,,1.0,,
