1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Jojoba Esters,"Jojoba oil esters, Hydrogenated jojoba oil, Jojoba wax esters, Jojoba Butter, Jojoba Wax, Jojoba Oil/Macadamia Seed Oil Esters",Jojoba Esters,Inactive,Low Risk,Compound,"Jojoba Oil, Fatty Acid Esters",Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",1,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,1,"Jojoba Esters mimic the skin’s natural oils, providing lightweight hydration that helps to balance moisture levels in the skin. They’re effective in treating dryness without clogging pores, leaving the skin soft and hydrated.",1,"Jojoba esters mimic the skin’s natural sebum, providing hydration while helping regulate oil production. They’re effective in balancing oily skin and reducing shine.",0.2,,0.2,,1,"Jojoba esters mimic the skin’s natural sebum, helping balance oil production and smooth uneven texture. They also help minimize the appearance of pores by keeping the skin hydrated and balanced.",0,,0.2,,0,,0,,1,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0,0.2,0,0,1,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 10%,Moderately effective
Lauryl Laurate,"Dodecyl laurate, Lauric acid dodecyl ester, Dodecanoic acid dodecyl ester, Lauryl Ester, Lauryl Ester Wax",Lauryl Laurate,Inactive,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",4,0.2,0.2,-0.2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,-1,,-1,,0.2,,-0.2,,0.2,,0.2,,-0.2,,-1,,0.2,,0,,-1,,0.2,0,0,0,0,0,0,0,0,-1,-1,0.2,0,0,0,0.2,-1,0,-0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 5%,
Fresh lavender flowers,"Lavender, Lavandula, Lavandula Angustifolia, Lavender Flower Extract, Lavandula Flower Extract, Lavandula Angustifolia (Lavender) Flower Oil , Lavandula Angustifolia Extract, Lavender Extract, Lavandula Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract",Lavandula Angustifolia (Lavender) Flower Extract,Active,Moderate Risk,Single,0,High Risk,"Fragrance, Active",Can be irritating for sensitive skin,0,0.2,-0.2,1,0.2,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,-1,,0,,-0.2,,0.2,Lavender flowers have astringent properties that help balance oil production and soothe the skin. They’re effective in calming oily skin and preventing breakouts.,0.2,,0.2,,0.2,,-1,,0.2,,-1,,0.2,,0,0,0,0,1,1,0,1,0,0,0.2,0.2,0,0,0,0.2,-1,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.1 - 1%,
Lavender Hydrosol,"Lavender Water, Lavandula Angustifolia Flower Water, Lavender Floral Water",Lavandula Angustifolia (Lavender) Flower Water,Active,Moderate Risk,Single,0,Low Risk,"Fragrance, Active",Generally non-irritating,0,0.2,0.2,1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,,-1,,0,,0.2,,0.2,Lavender hydrosol helps tone and balance oily skin by regulating sebum production. It’s effective in reducing shine and keeping the skin clear.,0.2,,0,,0.2,,0.2,,0.2,,0,,0,,0,0,0.2,0,1,1,0,0,0,0,0,0.2,0,0,0,0.2,-1,0,0.2,0,0,0,0,1,0,0,0,0.2,0,0,1 - 5%,
Lavandula Angustifolia Oil / Lavender Oil,"Lavandula Angustifolia (Lavender) Oil, Lavandula Oil, Lavender Essential Oil, Lavender essential oil, Lavender oil, Lavandula oil, Lavandula Anguvstifolia (Lavender) Essential Oil",Lavandula Angustifolia (Lavender) Oil,Active,Moderate Risk,Single,0,High Risk,"Fragrance, Active","Anti-inflammatory, Soothing, Can be irritating for sensitive skin",1,0.2,0.2,1,1,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,-1,,0.2,,0.2,,0.2,Lavender oil has antibacterial and balancing properties that help regulate oil production and prevent acne. It’s effective in calming oily skin and reducing excess sebum.,0.2,,0,,0.2,,-1,,0.2,,-1,,0,,0,0,0,0,1,1,0,1,0,0.2,0,0.2,0,0,0,0.2,-1,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0.1 - 2%,
Organic lavender essential oil,"Organic Lavender Oil, Organic Lavandula Oil",Organic Lavandula Angustifolia (Lavender) Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active","Soothing, Anti-inflammatory",#N/A,0.2,1,1,1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,0.2,"Organic lavender essential oil helps to soothe the skin and promote healing. It can support the treatment of hyperpigmentation by calming the skin and preventing further irritation, which could lead to post-inflammatory hyperpigmentation.",0.2,,0.2,"Organic Lavender Essential Oil has soothing and hydrating properties that help to calm dry, irritated skin. It provides lightweight moisture and helps to restore the skin’s natural balance.",0.2,"Organic lavender oil offers the same benefits as regular lavender oil, with added purity. It helps balance oil production and soothe oily skin.",0.2,,0,,0.2,,0.2,,0.2,,-1,,0.2,,0,0,0,0,1,1,0,1,0,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0.1 - 1%,
Lavandula Hybrida Oil,"Lavender Oil, Lavandin Oil, Lavandula Hybrida Oil, Hybrid Lavender Oil",Lavandula Hybrida Oil,Active,Moderate Risk,Single,0,Low Risk,"Fragrance, Active","Anti-inflammatory, Soothing, Can be irritating for sensitive skin",0,0.2,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,-1,,0,,0.2,,0.2,"Lavandula Hybrida Oil has similar properties to lavender oil, helping balance sebum production and reduce shine. It’s effective in calming oily skin and preventing acne.",0.2,,0,,0.2,,0.2,,0,,0.2,,0,,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0,0,-1,1,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0.1 - 2%,
Lecithin,"Phosphatidylcholine, Soy lecithin, Lecithin, Egg Lecithin, Sunflower Lecithin",Lecithin,Inactive,Low Risk,Single,0,Low Risk,"Emulsifier, Emollient","Skin barrier protection, Moisturizing, Emulsifying",2,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes/No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,1,1 - 5%,
Leucidal Liquid Advanced Aloe,"Leucidal Aloe, Aloe Ferment, Lactobacillus/Aloe Barbadensis Ferment, Leuconostoc/Radish Root Ferment Filtrate Aloe Blend",Leuconostoc/Radish Root Ferment Filtrate (and) Aloe Barbadensis Leaf Juice,Active,Low Risk,Compound,"Leuconostoc/Radish Root Ferment Filtrate, Aloe Vera Leaf Juice",Low Risk,"Preservative, Humectant",Not a paraben. Not likely to cause irritation and acne.,0,0.2,0,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0,,0.2,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0,1,1 - 5%,
Limnanthes Alba (Meadowfoam) Seed Oil,"Meadowfoam Oil, Limnanthes Alba Oil, Meadowfoam Seed Oil, Limnanthes Alba Seed Oil",Limnanthes Alba (Meadowfoam) Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Skin barrier protection, Moisturizing, Antioxidant",1,1,1,1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0,Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps brighten the skin and reduce the appearance of hyperpigmentation by inhibiting melanin production. It’s gentle and effective for treating dark spots and promoting an even skin tone.,0,,1,"Meadowfoam Seed Oil is rich in fatty acids and provides long-lasting hydration to the skin. It helps to lock in moisture and prevent dehydration, making it effective in treating dry skin.",0.2,"Meadowfoam seed oil helps balance sebum production and provides lightweight hydration, making it suitable for oily skin. It helps keep the skin clear and free of excess shine.",0.2,,0.2,,0.2,"Meadowfoam seed oil helps balance oil production and provides lightweight hydration, which smooths uneven texture and reduces the appearance of pores.",0,,0.2,,0.2,,0,,1,1,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 5%,Moderately effective
Limonene,"Limonene, D-Limonene, (R)-4-Isopropenyl-1-methylcyclohexene",Limonene,Active,High Risk,Single,0,High Risk,Fragrance,Can be irritating for sensitive skin,1,0,-1,-1,-1,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,-6,,-1,,-1,,-6,,-1,,-1,,-1,,-1,,-1,,-1,,-6,,-1,,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0.1 - 0.5%,
Linalool,"Linalool, 3,7-Dimethylocta-1,6-dien-3-ol, 2,6-Dimethyl-2,7-octadien-6-ol",Linalool,Active,High Risk,Single,0,High Risk,Fragrance,Can be irritating for sensitive skin,0,0,-1,-1,-1,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-6,,-1,,-1,,-6,,-1,,-1,,-1,,-1,,-1,,-1,,-6,,-1,,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0.1 - 0.5%,
Linum Usitatissimum (Linseed) Seed Extract,"Flaxseed extract, Flax extract, Linseed Extract, Linum Usitatissimum Seed Extract",Linum Usitatissimum (Linseed) Seed Extract,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,0.2,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,0.2,,-0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,1,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0,1,0,0,0,0,0.2,0,0,0.5 - 2%,
Flaxseed Oil,"Linseed oil, Flax oil, Linum usitatissimum seed oil, Flaxseed Oil",Linum Usitatissimum (Linseed) Seed Oil,Active,Low Risk,Single,0,Low Risk,Humectant,Contains omega-3 fatty acids that help reduce inflammation and support skin healing.,3,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,"Flaxseed Oil is rich in omega-3 fatty acids and has anti-inflammatory properties, which can be beneficial for managing rosacea. It helps to soothe irritated skin and reduce redness, while maintaining the skin’s moisture barrier. It is generally well-tolerated but should be patch-tested on sensitive skin.",0.2,,0,,0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,"Flaxseed oil is rich in fatty acids that help to nourish and hydrate the skin, reducing the appearance of dullness. It improves skin texture and promotes a healthy, glowing complexion.",0,,0.2,,1,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0.2,1,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 5%,
Macadamia Nut Oil,"Macadamia integrifolia seed oil, Macadamia ternifolia seed oil, Macadamia oil, Macadamia Nut Oil",Macadamia Integrifolia Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Skin barrier protection, Moisturizing",2,1,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0,,0,,1,"A rich butter that is highly moisturizing and effective in treating dry skin. It forms a protective barrier, preventing moisture loss and deeply hydrating the skin.",-0.2,,0.2,,0.2,,-0.2,,0,,0.2,,0.2,,0,,1,1,0,0,0,0,0,1,0,0,0,0.2,0,0,0,0.2,0,0,-0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 5%,Moderately effective
Magnesium Ascorbyl Phosphate,"MAP, Ascorbic Acid Magnesium Salt, Magnesium L-Ascorbyl-2-phosphate, Magnesium Vitamin C, Magnesium Ascorbyl Phosphate Solution",Magnesium Ascorbyl Phosphate,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps regulate sebum production and brighten the skin. It’s effective in reducing shine and preventing clogged pores.,1,"Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps to stimulate collagen production and reduce the appearance of fine lines and wrinkles. It also brightens the skin and protects against environmental damage, making it an effective anti-aging ingredient.",1,"A stable form of Vitamin C that stimulates collagen production, improving elasticity and firmness, and provides antioxidant protection against environmental damage.",0.2,"A stable form of Vitamin C, Magnesium Ascorbyl Phosphate helps brighten the skin, smooth uneven texture, and minimize the appearance of pores. It also protects the skin from environmental stressors that can cause texture issues.",0.2,,1,"This stable, water-soluble form of Vitamin C is effective at brightening the skin, improving dullness, and promoting an even skin tone. It helps boost collagen production and provides antioxidant protection, making the skin appear more radiant.",1,"A stable form of Vitamin C, Magnesium Ascorbyl Phosphate helps to brighten the under-eye area by reducing pigmentation and stimulating collagen production. It addresses dark circles by improving skin tone and texture.",0.2,,0,0,0,0,0,0,0,0,0,0.2,0.2,1,0,0,0,1,0.2,0,0.2,0,1,0,0,0,0,0,0,1,0,0,1 - 5%,Moderately effective
Magnesium Ascorbyl Phosphate (Vitamin C),"MAP, Vitamin C phosphate, Magnesium Ascorbyl Phosphate, Vitamin C Magnesium Salt",Magnesium Ascorbyl Phosphate,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,1,Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps brighten the skin and reduce the appearance of hyperpigmentation by inhibiting melanin production. It’s gentle and effective for treating dark spots and promoting an even skin tone.,0.2,,0.2,,0.2,Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps regulate sebum production and brighten the skin. It’s effective in reducing shine and preventing clogged pores.,1,"Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps to stimulate collagen production and reduce the appearance of fine lines and wrinkles. It also brightens the skin and protects against environmental damage, making it an effective anti-aging ingredient.",1,"A stable form of Vitamin C that stimulates collagen production, improving elasticity and firmness, and provides antioxidant protection against environmental damage.",0.2,"A stable form of Vitamin C, Magnesium Ascorbyl Phosphate helps brighten the skin, smooth uneven texture, and minimize the appearance of pores. It also protects the skin from environmental stressors that can cause texture issues.",0.2,,1,"This stable, water-soluble form of Vitamin C is effective at brightening the skin, improving dullness, and promoting an even skin tone. It helps boost collagen production and provides antioxidant protection, making the skin appear more radiant.",1,"A stable form of Vitamin C, Magnesium Ascorbyl Phosphate helps to brighten the under-eye area by reducing pigmentation and stimulating collagen production. It addresses dark circles by improving skin tone and texture.",0.2,,0,0,0,0,0,0,0,0,0,0.2,0.2,1,0,0,0,1,1,0,0.2,0,1,0,0,0,0,0,0,1,0,0,1% - 10%,Yes
Oregon Grape,"Berberis aquifolium extract, Mahonia aquifolium extract, Holly-leaved barberry extract, Oregon Grape Root Extract",Mahonia Aquifolium Root Extract,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,0.2,,0.2,,0,,0,,0.2,,0.2,,0.2,,0.2,,0,,0,0,0,0,0,1,0,0,0,0.2,0,0,0,0,0,0.2,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5 - 2%,
Mango Butter (Mangifera Indica Seed Butter),"Mangifera Indica Butter, Mango Seed Butter, Mangifera Indica Oil Butter, Mango Butter",Mangifera Indica (Mango) Seed Butter,Active,Low Risk,Single,0,Low Risk,"Emollient, Occlusive Agent","Skin barrier protection, Moisturizing, Soothing",2,0.2,0.2,-1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Mango butter is a rich, nourishing ingredient that helps to soothe and moisturize the skin. It is generally well-tolerated and can provide relief for dry, irritated skin, which is often associated with rosacea.",0,,-0.2,,0.2,,-1,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0.2,,1,1,0,0,0,1,0,0,0,-0.2,0.2,0.2,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 5%,
Organic Unrefined Raw Mango Butter,"Organic Mangifera Indica Butter, Organic Mango Seed Butter, Organic Mangifera Indica Oil Butter, Organic Mango Butter",Mangifera Indica (Mango) Seed Butter,Active,Low Risk,Single,0,Low Risk,"Emollient, Occlusive Agent","Skin barrier protection, Moisturizing, Soothing",2,0.2,0.2,-1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Organic unrefined raw mango butter retains more natural nutrients, soothing and hydrating the skin, which can benefit the dryness associated with rosacea. However, it may not address redness or inflammation directly.",0,,-0.2,,0.2,,-1,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0.2,,1,1,0,0,0,1,0,0,0,-0.2,0.2,0.2,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 5%,
Organic Arrowroot Powder,"Organic Maranta arundinacea powder, Organic Arrowroot, Organic Arrowroot Starch",Maranta Arundinacea Root Powder,Inactive,Low Risk,Single,0,Low Risk,"Thickener, Texture Enhancer",Natural thickener. Low risk of irritation,0,0,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,,0,,0.2,,0.2,,0,,0,,0,,0,,0.2,,0.2,,0.2,,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1 - 5%,
Arrowroot Powder,"Maranta arundinacea powder, Arrowroot, Arrowroot Starch",Maranta Arundinacea Root Powder,Inactive,Low Risk,Single,0,Low Risk,"Thickener, Texture Enhancer",Natural thickener. Low risk of irritation,0,0,0,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,"Tea tree essential oil has antibacterial and anti-inflammatory properties that help treat acne, reducing the likelihood of post-inflammatory hyperpigmentation. While it’s not a direct skin-lightening agent, it helps prevent the formation of new dark spots.",0,,0,,0.2,,0,,0,,0,,0,,0.2,,0.2,,0.2,,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1 - 5%,
Medicago Sativa Extract/Alfalfa Extract,"Alfalfa Extract, Medicago Extract, Lucerne Extract, Medicago Sativa Extract, Alfalfa Leaf Extract",Medicago Sativa (Alfalfa) Extract,Active,Low Risk,Single,0,Low Risk,"Emollient, Emulsifier","Soothing, Antioxidant",0,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Alfalfa extract is rich in vitamins and antioxidants, which can help protect the skin, but it is not specifically noted for treating rosacea. It is generally safe but may not be particularly effective for rosacea.",0,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.5 - 2%,
Manuka Honey,"Leptospermum Scoparium Honey, Manuka Extract, Manuka Honey Extract, Manuka Honey",Mel (Honey),Active,Moderate Risk,Single,0,Low Risk,"Active, Humectant",Has antimicrobial and anti-inflammatory properties that can help reduce acne-causing bacteria and soothe irritated skin.,0,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,"Manuka honey is known for its antibacterial and anti-inflammatory properties, making it beneficial for soothing irritated skin and potentially reducing redness associated with rosacea.",0.2,,0,,0.2,,0,,0.2,,0.2,,0.2,"Manuka honey has antibacterial and anti-inflammatory properties that help smooth uneven texture and reduce the appearance of pores. It also hydrates the skin, contributing to a more refined complexion.",0.2,,0.2,"Manuka honey has natural antibacterial and exfoliating properties that help to brighten the skin and reduce dullness. It hydrates and nourishes the skin, leaving it looking more radiant and smooth.",0.2,,0.2,,0.2,0,0,0,1,1,0,0.2,0,0,0.2,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0,1,0,0.2,0,0,1 - 5%,
Tea tree essential oil,"Melaleuca alternifolia oil, Tea tree oil, TTO, Tea Tree Leaf Oil, Melaleuca Oil",Melaleuca Alternifolia (Tea Tree) Leaf Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active","Antibacterial, Anti-inflammatory",1,0.2,-0.2,1,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-6,,0.2,"Tea tree essential oil has antibacterial and anti-inflammatory properties that help treat acne, reducing the likelihood of post-inflammatory hyperpigmentation. While it’s not a direct skin-lightening agent, it helps prevent the formation of new dark spots.",1,"Tea tree oil is well-known for its antibacterial and anti-inflammatory properties, making it highly effective in treating acne. It helps to reduce the size of pimples, prevent new breakouts, and calm redness and swelling.",-0.2,,1,"Tea tree oil is known for its strong antibacterial and anti-inflammatory properties, making it highly effective in treating and preventing acne. It helps regulate oil production and reduce shine, making it ideal for oily skin.",-1,,0,,1,"Tea tree oil has antibacterial properties that help clear pores and smooth uneven skin texture. It’s particularly effective for treating and preventing acne, which can contribute to rough texture and visible pores.",0.2,,0.2,,-1,,1,Tea tree oil is a well-known treatment for acne due to its antibacterial and anti-inflammatory properties. It helps kill acne-causing bacteria and reduce the size and redness of blemishes.,0,0,0,0,0,1,0,0,0,1,1,-1,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0,-1,0,0,0.5 - 2%,Yes
Organic tea tree essential oil,"Melaleuca alternifolia oil, Tea tree oil, TTO, Tea Tree Leaf Oil, Melaleuca Oil",Melaleuca Alternifolia (Tea Tree) Leaf Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active","Antibacterial, Anti-inflammatory",1,0.2,-0.2,1,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-6,,0.2,"Similar to regular tea tree oil but with added purity, it helps to treat acne and prevent the formation of post-inflammatory hyperpigmentation. It supports clearer skin, which reduces the likelihood of new dark spots.",1,Organic tea tree oil offers the same acne-fighting benefits as regular tea tree oil but with added purity. It’s effective in treating breakouts and preventing acne due to its antibacterial properties.,-0.2,,1,"Known for its antimicrobial properties, tea tree oil helps treat acne and reduce excess oil, making it very effective for oily skin.",-1,,0,,1,"Similar to regular tea tree oil, organic tea tree essential oil helps clear pores and smooth uneven skin texture, with added purity. It’s effective in treating acne-prone skin and refining the complexion.",0.2,,0.2,,-1,,1,"Similar to regular tea tree oil, organic tea tree essential oil helps treat and prevent blemishes with its antibacterial and anti-inflammatory properties. It offers added purity, making it a gentle option for sensitive skin.",0,0,0,0,0,1,0,0,0,1,1,-1,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0,-1,0,0,0.5 - 2%,Yes
