,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient name,Aliases,INCI Name,Active/Inactive,Allergen Potential,Single/Compound,Components,Risk of irritation,Role in formulation,Note,Comedogenic Rating,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Teen,20s,30s,40s,50s,60+,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Rosacea,Description,Hyperpigmentation & Uneven skin tone,Description,Acne,Description,Dryness/Dehydration,Description,Oiliness & Shine,Description,Fine lines & Wrinkles,Description,Loss of Elasticity/firmness,Description,Visible pores & Uneven texture,Description,"Clogged pores, blackheads",Description,Dullness,Description,Dark circles,Description,Blemishes,Description
Tamanu,"Calophyllum Inophyllum Oil, Foraha Oil, Kamani Oil, Tamanu Oil, Calophyllum Tacamahaca (Tamanu) Seed Oil",Calophyllum Inophyllum Seed Oil,Active,Moderate Risk,Single,0,Low Risk,"Emollient, Active",Antioxidant,3,1,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,"Similar to Tamanu seed oil, it helps in reducing inflammation and promoting skin regeneration, which can be particularly useful in managing rosacea.",0.2,,0.2,"Tamanu oil is rich in fatty acids and has strong anti-inflammatory and antibacterial properties, making it effective in treating acne. It helps reduce the size and redness of pimples, promotes healing, and reduces the likelihood of acne scars. It is particularly useful for those with inflamed or cystic acne.",0.2,,-0.2,,0.2,"Similar to tamanu seed oil, tamanu helps to reduce the appearance of fine lines and wrinkles by promoting skin regeneration and collagen production. It’s particularly effective for aging skin that needs a boost in elasticity and firmness.",1,"Similar to tamanu seed oil, it improves elasticity and firmness by promoting collagen production and skin regeneration.",0,,0,,0.2,,0.2,,0,
Camellia Japonica Seed Oil,"Camellia Japonica Seed Oil, Tsubaki Oil, Camellia Oil",Camellia Japonica Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Skin barrier protection, Antioxidant, Moisturizing",1,1,0.2,0.2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,"This oil is rich in antioxidants and anti-inflammatory properties, making it effective in soothing irritation and reducing redness in rosacea-prone skin.",0,,0,,0.2,,0.2,,0.2,"Rich in antioxidants and fatty acids, camellia oil helps to nourish the skin, improve elasticity, and reduce the appearance of fine lines and wrinkles. It also protects the skin from environmental damage, promoting a smooth, youthful complexion.",1,"Rich in fatty acids and antioxidants, it helps restore skin firmness and elasticity by supporting collagen production and protecting against environmental damage.",0.2,,0,,0.2,,0.2,,0,
Camellia Sinensis Leaf Extract (Green tea),"Green Tea Extract, Camellia Sinensis Extract, Tea Leaf Extract, Camellia Extract",Camellia Sinensis Leaf Extract,Active,Low Risk,Compound,"Polyphenols, Catechins, Caffeine",Low Risk,"Active, Antioxidant",Antioxidant,0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,"Green tea extract is a powerful anti-inflammatory and antioxidant. It helps reduce redness and calm irritated skin, making it highly beneficial for managing rosacea.",1,"Green tea extract is rich in antioxidants and anti-inflammatory properties, which help to protect the skin from UV damage and reduce melanin production, thereby addressing hyperpigmentation.",0.2,,0.2,,1,Green tea extract is rich in antioxidants and has anti-inflammatory properties that help control oil production and reduce shine. It’s effective in managing oily skin and preventing acne.,0.2,"Green tea extract is a powerful antioxidant that helps to protect the skin from environmental damage and reduce the appearance of fine lines and wrinkles. It also soothes and calms the skin, making it look more youthful and refreshed.",0.2,,0.2,"Green tea extract is rich in antioxidants and has anti-inflammatory properties that help calm the skin, reduce the appearance of pores, and smooth uneven texture. It also protects the skin from environmental stressors that can cause texture issues.",0.2,Green tea extract has antioxidant and anti-inflammatory properties that reduce sebum production and calm the skin. This can prevent pores from becoming clogged and reduce the formation of blackheads.,0.2,,0.2,,0.2,
Green Tea,"Camellia sinensis leaf extract, Tea extract, Green tea polyphenols, Green Tea Extract, Green Tea Leaves",Camellia Sinensis Leaf Extract,Active,Low Risk,Compound,"Polyphenols, Catechins, Caffeine",Low Risk,"Active, Antioxidant",Antioxidant,0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,Green tea has strong anti-inflammatory properties that help reduce the redness and irritation associated with rosacea. It also provides antioxidant protection against environmental stressors that can exacerbate rosacea symptoms.,1,"Green tea offers similar benefits to its extract, helping to protect the skin from free radical damage and reducing melanin production, which can help fade hyperpigmentation.",0.2,,0.2,,1,"Green tea helps regulate sebum production and reduce inflammation, making it ideal for oily skin. It also provides antioxidant protection and helps prevent clogged pores.",0.2,"Green tea offers the same benefits as its extract, helping to reduce the appearance of fine lines and wrinkles by protecting the skin from free radicals and promoting collagen production. It also helps to soothe and calm irritated skin.",0.2,,0.2,"Green tea offers the same benefits as its extract, helping to tighten pores, smooth uneven texture, and protect the skin from environmental damage. It’s particularly effective for refining the skin’s surface.",0.2,"Similar to its extract, green tea helps regulate oil production and soothe the skin, making it effective in preventing clogged pores and blackheads.",0.2,,0.2,,0.2,
White Tea Extract,"Camellia Sinensis Extract, White Tea Leaf Extract, Camellia Sinensis Leaf Extract, White Tea Extract",Camellia Sinensis Leaf Extract,Active,Low Risk,Compound,"Polyphenols, Catechins, Caffeine",Low Risk,"Active, Antioxidant",Antioxidant,0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,"White tea extract is similar to green tea but with a higher concentration of antioxidants. It helps calm inflammation, reduce redness, and protect the skin from environmental damage, making it effective in managing rosacea.",0.2,,0.2,,0.2,,0.2,"White tea extract offers similar benefits to green tea, helping control oil production and reduce shine while providing antioxidant protection for oily skin.",0.2,"White tea extract is rich in antioxidants that help to protect the skin from environmental stressors and reduce the appearance of fine lines and wrinkles. It promotes a more youthful, radiant complexion by supporting skin regeneration and elasticity.",0.2,,0.2,"White tea extract is packed with antioxidants that help reduce the appearance of pores and smooth uneven skin texture. It also protects the skin from free radical damage, contributing to a more refined complexion.",0.2,"White tea extract, rich in antioxidants, protects the skin from oxidative stress that can lead to clogged pores. It also has mild astringent properties.",0.2,,0.2,,0.2,
Ylang Ylang Essential Oil,"Cananga Odorata Oil, Ylang Ylang Oil, Flower of Flowers Oil, Ylang Ylang Essential Oil",Cananga Odorata Flower Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active","Can help regulate sebum production, making it useful for oily and acne-prone skin.Natural fragrance. Has risk of irritation for sensitive skin",1,0.2,-0.2,-0.2,1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,0.2,,0,,-0.2,,-0.2,,0.2,,0,,0.2,,0.2,,0,,-1,,0.2,
Capric Triglycerides,"Caprylic/Capric Triglyceride, MCT Oil, Medium Chain Triglycerides, Capric Acid Triglycerides, Caprylic/Capric/Myristic/Stearic Triglyceride",Capric Triglyceride,Inactive,Low Risk,Compound,"Capric Acid, Triglycerides",Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",2,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0.2,,0.2,,0,,0,,0,,0,,0.2,,0,,0,
Caprylhydroxamic Acid,"Octanohydroxamic acid, 1-Hydroxycaprylamide, Capryl hydroxamic acid, Caprylhydroxamic Acid Solution",Caprylhydroxamic Acid,Active,Low Risk,Single,0,Low Risk,Preservative,Not a paraben. Not likely to cause irritation and acne.,0,0.2,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Caprylic/Capric Triglyceride,"Caprylic Triglyceride, MCT Oil, Medium Chain Triglycerides, Caprylic/Capric Acid Triglyceride",Caprylic/Capric Triglyceride,Inactive,Low Risk,Compound,"Caprylic Acid, Capric Acid",Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",2,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0.2,,0.2,,0,,0,,0,,0,,0.2,,0,,0,
Caprylyl Glycol,"1,2-Octanediol, Octane-1,2-diol, Caprylyl Glycol Solution",Caprylyl Glycol,Inactive,Low Risk,Single,0,Low Risk,"Preservative, Humectant",Not a paraben. Not likely to cause irritation and acne.,1,0.2,0,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0.2,,0.2,,0.2,,0,,0,,0,,0,,0,
Carbomer,"Polyacrylic Acid, Carbopol, Acrylate Polymer, Carbomer Solution, Acrylic Acid Polymer",Carbomer,Inactive,Low Risk,Single,0,High Risk,"Thickener, Stabilizer",Chemical thickener. Risk of irritation for sensitive skin,1,0,-0.2,0,0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,-1,,0.2,,-0.2,,0,,0,,0,,0,,0,,-1,,-1,,0,
Organic Carthamus Tinctorius (Safflower) Seed Oil,"Organic Safflower Oil, Organic Safflower Seed Oil, Organic Carthamus Tinctorius Oil, Organic Safflower Oil",Carthamus Tinctorius (Safflower) Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Skin barrier protection, Moisturizing, Anti-inflammatory",0,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0,,0.2,"Safflower oil is non-comedogenic and rich in linoleic acid, which helps balance sebum production and prevent clogged pores. It’s effective for moisturizing acne-prone skin without causing breakouts.",1,"Safflower oil is rich in linoleic acid, which helps to hydrate and protect the skin's barrier. It provides lightweight moisture and is effective in treating dryness without leaving a greasy residue.",0.2,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0,
Safflower Oil,"Carthamus Tinctorius Oil, Safflower Seed Oil, Safflower Oil, Safflower Seed Oil",Carthamus Tinctorius (Safflower) Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Skin barrier protection, Moisturizing, Anti-inflammatory",0,1,1,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0.2,"Similar to its organic counterpart, safflower oil helps balance oil production and keeps pores clear, making it a good option for acne-prone skin. It provides hydration without clogging pores.",1,"Safflower oil is rich in linoleic acid, which helps to hydrate and protect the skin's barrier. It provides lightweight moisture and is effective in treating dryness without leaving a greasy residue.",0.2,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0,
Cedar Wood Essential Oil,"Cedrus Atlantica Oil, Cedar Oil, Atlas Cedar Oil, Cedarwood Oil",Cedrus Atlantica Bark Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active",Has antimicrobial and anti-inflammatory properties.Natural fragrance. Has risk of irritation for sensitive skin,1,0.2,-0.2,1,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,0.2,,0,,-0.2,,1,"Cedar wood essential oil has astringent properties that help tighten pores and reduce excess oil production, making it effective in managing oily skin.",0.2,"Cedar wood essential oil helps to improve skin elasticity and reduce the appearance of fine lines and wrinkles. Its astringent properties also help to tighten and tone the skin, giving it a firmer, more youthful appearance.",0,,0.2,,0.2,,0,,-1,,0.2,
Cellulose,"Wood Pulp, Fiber, Plant Fiber, Cellulose Powder, Cellulose Fiber",Cellulose,Inactive,Low Risk,Single,0,Low Risk,"Thickener, Texture Enhancer",Natural thickener. Low risk of irritation,1,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2,,0.2,,0.2,
Cellulose Gum,"Carboxymethylcellulose, CMC, Cellulose, Cellulose Ether, CMC Gum",Cellulose Gum,Inactive,Low Risk,Single,0,Low Risk,"Thickener, Texture Enhancer",Natural thickener. Low risk of irritation,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2,,0.2,,0.2,
Centella,"Gotu Kola, Brahmi, Centella Asiatica, Indian Pennywort, Asiatic Pennywort, Gotu kola (Centella asiatica)",Centella Asiatica Extract,Active,Low Risk,Compound,"Asiaticoside, Madecassoside",Low Risk,Active,"Wound-healing, anti-inflammatory, and skin-soothing",0,0.2,1,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Centella, also known as Gotu Kola, is known for its healing and anti-inflammatory properties. It helps reduce redness, soothe irritation, and strengthen the skin barrier, making it beneficial for rosacea-prone skin.",0.2,,0.2,,0.2,"Centella, also known as Gotu Kola, is known for its healing and hydrating properties. It helps to soothe and repair the skin, making it effective in treating dryness and dehydration while also strengthening the skin’s barrier.",0.2,,0.2,"Centella, also known as Gotu Kola, is known for its ability to stimulate collagen production and improve skin elasticity. It helps to reduce the appearance of fine lines and wrinkles while promoting smoother, firmer skin. It’s particularly beneficial for aging or damaged skin.",1,"Stimulates collagen synthesis, improving skin elasticity and restoring firmness, making it effective for sagging skin.",0.2,,0.2,,0.2,,0.2,,0.2,"Centella, also known as Gotu Kola, promotes wound healing and reduces inflammation, making it effective in treating blemishes. It helps calm the skin and reduce the appearance of redness and scars from past blemishes."
Organic Gotu kola Horsetail (Centella asiatica),"Organic Horsetail extract, Organic Equisetum arvense, Organic Centella Asiatica Extract, Organic Gotu Kola Extract",Centella Asiatica Extract,Active,Low Risk,Compound,"Asiaticoside, Madecassoside",Low Risk,Active,"Wound-healing, anti-inflammatory, and skin-soothing",0,0.2,1,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Similar to regular Centella, organic Gotu Kola offers soothing, anti-inflammatory benefits without the potential for chemical irritants. It helps calm and heal rosacea-affected skin.",0,,0.2,,0.2,"Similar to regular Centella, Organic Gotu Kola provides soothing, healing, and hydrating benefits, but with added purity. It’s particularly effective for treating dry, sensitive skin.",0.2,,0.2,"Similar to regular Centella, organic Gotu Kola helps to reduce the appearance of fine lines and wrinkles by promoting collagen production and improving skin elasticity, with added purity to avoid any potential irritants.",1,"Stimulates collagen synthesis, improving skin elasticity and restoring firmness, making it effective for sagging skin.",0.2,,0.2,,0.2,,0.2,,0.2,"Similar to regular Centella, organic Gotu Kola promotes healing and reduces inflammation. It helps treat and prevent blemishes while minimizing the appearance of scars."
Beeswax,"Cera alba, White wax, Beeswax, Cera Flava",Cera Alba,Inactive,Low Risk,Single,0,Low Risk,"Emollient, Thickener, Occlusive Agent","Skin barrier protection, Occlusive, Moisturizing",2,0.2,1,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,,0,,1,"Beeswax acts as a natural emollient that forms a protective barrier on the skin, sealing in moisture and preventing dehydration. It is effective in softening the skin and protecting it from environmental factors that can cause dryness.",-0.2,,0,,0,,-0.2,,0,,0.2,,-1,,0,
Organic Beeswax,"Organic Cera Alba, Organic White Wax, Organic Cera Flava, Organic Beeswax, Natural Beeswax",Cera Alba,Inactive,Low Risk,Single,0,Low Risk,"Emollient, Thickener, Occlusive Agent","Skin barrier protection, Occlusive, Moisturizing",2,0.2,1,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,,0,,1,Organic Beeswax offers the same moisture-sealing benefits as regular beeswax but with added purity. It helps to lock in hydration and protect the skin from drying out.,-0.2,,0,,0,,-0.2,,0,,0.2,,-1,,0,
Yellow Beeswax,"Cera Alba, White Wax, Cera Flava, Yellow Beeswax",Cera Alba,Inactive,Low Risk,Single,0,Low Risk,"Emollient, Thickener, Occlusive Agent","Skin barrier protection, Occlusive, Moisturizing",2,0.2,1,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,,0,,1,"Yellow Beeswax provides a protective barrier that locks in moisture, helping to prevent and treat dryness. It is effective in keeping the skin hydrated and soft.",-0.2,,0,,0,,-0.2,,0,,0.2,,-1,,0,
Ceramide NP,"Ceramide 3, N-stearoyl sphinganine, N-(stearoyl)-D-erythro-sphingosine, Ceramide III, Ceramide NS",Ceramide NP,Active,Low Risk,Single,0,Low Risk,"Active, Emollient","Skin barrier protection, Moisturizing, Restorative",1,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,"Ceramides are essential for maintaining the skin’s barrier function. Ceramide NP helps restore and strengthen the skin barrier, reducing sensitivity and preventing moisture loss, which is crucial for managing rosacea.",0.2,,0,,0.2,,0.2,"Ceramides help restore the skin’s barrier function and balance moisture levels, which can prevent the overproduction of oil. They’re beneficial for oily skin by maintaining hydration without adding greasiness.",0.2,"Ceramides help to restore the skin’s natural barrier and retain moisture, which is essential for plumping the skin and reducing the appearance of fine lines and wrinkles. They also help to protect the skin from environmental damage that can accelerate aging. Ceramide NP is particularly effective in maintaining skin hydration and elasticity.",1,"Maintains the skin’s barrier and retains moisture, improving firmness and elasticity while protecting against environmental damage.",0.2,,0,,0.2,,0.2,,0,
Cetearyl Alcohol,"Cetyl/stearyl alcohol, Fatty alcohol, Cetyl Alcohol, Stearyl Alcohol",Cetearyl Alcohol,Inactive,Low Risk,Single,0,Low Risk,"Emulsifier, Thickener, Emollient","Emollient, Skin barrier protection, Thickener",0,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0.2,,0.2,,0,,0,,0,,-0.2,,0.2,,0,,0,
Emulsifying Wax,"Cetearyl alcohol, Polysorbate 60, Emulsifying Wax NF, Emulsifying Wax BP",Cetearyl Alcohol (and) Polysorbate 60,Inactive,Low Risk,Compound,"Cetearyl Alcohol, Polysorbate 60",Moderate Risk,Emulsifier,"Generally considered safe for most skin types, though some formulations may cause minor irritation in sensitive individuals",4,0,0,-1,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,-0.2,,-0.2,,0,,-1,,0,,0,,-0.2,,-0.2,,0,,-1,,0,
Cetearyl Ethylhexanoate,"Hexanoic acid, 2-ethylhexyl ester, Octyl palmitate, Octyl hexanoate, Cetearyl Hexanoate",Cetearyl Ethylhexanoate,Inactive,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",2,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0.2,,0.2,,0,,0,,0,,0,,0.2,,0,,0,
Cetearyl Glucoside,"Glucosyl Cetearyl Alcohol, Cetearyl Alcohol Glucoside, Alkyl Polyglucoside",Cetearyl Glucoside,Inactive,Low Risk,Single,0,Low Risk,Emulsifier,"A gentle, non-irritating emulsifier derived from sugar and plant oils. It's commonly used in sensitive skin formulations.",1,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Olivem 1000,"Cetearyl Olivate, Sorbitan Olivate, Olive Oil Polyglyceryl-6 Esters, Olive Emulsifier, Olivem",Cetearyl Olivate (and) Sorbitan Olivate,Inactive,Low Risk,Compound,"Cetearyl Olivate, Sorbitan Olivate",Low Risk,Emulsifier,"A mild emulsifying agent derived from olive oil, suitable for sensitive skin. It's known for its soothing properties and low risk of irritation.",1,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0.2,,0,,0,,0.2,,0,,0,,0,,0,,0.2,
Cetearyl Wheat Straw Glycosides,"Wheat Straw Extract, Cetearyl Alcohol Glycosides, Wheat Glycosides, Wheat Straw Glycoside Extract",Cetearyl Wheat Straw Glycosides,Inactive,Low Risk,Compound,"Cetearyl Alcohol, Wheat Straw Glycosides",Moderate Risk,Emulsifier,"Derived from wheat, this emulsifier may cause irritation in individuals with wheat allergies",1,0,0,0,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,-0.2,,0,,0,,0,,0,,0,,0,,0,,0,,-1,,0,
Cetyl Alcohol,"Cetyl Alcohol, Hexadecan-1-ol, 1-Hexadecanol",Cetyl Alcohol,Inactive,Low Risk,Single,0,Low Risk,"Emollient, Thickener","Emollient, Skin barrier protection, Thickener",4,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Cetyl alcohol is a fatty alcohol that acts as an emollient, helping to soften and smooth the skin. It provides moisture without irritating the skin, making it a safe ingredient for those with rosacea.",0,,-1,,0.2,,0.2,,0,,0,,0,,-1,,0.2,,0,,-1,
Cetyl Palmitate,"Palmitic acid cetyl ester, Hexadecanoic acid hexadecyl ester, Hexadecanoate, Cetyl Hexadecanoate",Cetyl Palmitate,Inactive,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",2,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0.2,,0,,0,,0,,0,,0,,0.2,,0,,0,
Cetyl Phosphate,"Cetyl Phosphate, Hexadecyl Phosphate",Cetyl Phosphate,Inactive,Low Risk,Single,0,Low Risk,Emulsifier,"A gentle surfactant and emulsifier, low risk for irritation. It's used in a variety of skincare formulations.",1,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Chamomile,"German Chamomile, Matricaria Chamomilla, Chamomilla Recutita, Chamomile (Matricaria recutita), Chamomile Tea, Chamomilla Recutita (Matricaria) Flower Extract, Chamomilla Recutita Flower Extract/Matricaria Flower Extract",Chamomilla Recutita (Matricaria) Flower Extract,Active,Low Risk,Compound,"Flavonoids, Essential Oils",Low Risk,"Active, Antioxidant, Fragrance",Natural fragrance. Low risk of irritation,0,0.2,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,,0.2,,0.2,,0.2,,0.2,Chamomile has soothing and anti-inflammatory properties that help calm the skin and balance oil production. It’s effective in reducing redness and preventing the overproduction of sebum.,0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,
